station_id,city,region,countryCode,lat,lon,aqi,no2,o3,pm25
327,Bois Bissonnet,Lorient,FR,47.74249,-3.39498,56.0,2.5,43.3,56.0
328,Bielsko-Biała,ul. Partyzantów,PL,49.802089,19.048629,122.0,22.1,28.7,122.0
329,,Malmö Dalaplan,SE,55.584747,13.00623,53.0,14.0,15.8,53.0
330,Perigueux-Picasso,Aquitaine,FR,45.189825392579,0.727184115413,12.0,1.0,30.9,25.0
331,Str. Ioan Slavici,Satu Mare,RO,47.7984956,22.878808,27.0,33.2,14.2,46.0
332,Trafic Beauvais 1,Picardie,FR,49.435933333333,2.0842916666665,34.0,6.4,19.9,34.0
333,,Niebla,ES,37.361299999831,-6.6769000002011,37.0,3.2,36.6,50.0
334,la Basse-Loire,Loire,FR,47.2473,-1.93652,63.0,1.6,25.7,63.0
335,,Jarosław-PWSTE-WIOS,PL,50.012083,22.674772,158.0,33.4,1.7,158.0
336,Żywiec,ul. Kopernika 84,PL,49.671602,19.234446,151.0,8.1,28.7,151.0
337,Pau,Aquitaine,FR,43.311090862965,-0.352116041428,15.0,2.3,34.6,42.0
338,Rue Saint-Maur,Lunéville-D31,FR,48.58483527749371,6.483581468177303,23.0,2.0,38.0,23.0
339,,CE Ljubljanska,SI,46.235962,15.251062,46.0,10.6,17.5,46.0
340,,Morvan,FR,47.27476,4.099476,40.0,1.1,39.6,37.0
341,Str. Vlad Ţepeş,Târgovişte,RO,44.9165231,25.4775723,21.0,41.2,13.1,43.0
342,,Aliartos,EL,38.37524796,23.11026764,50.0,6.0,15.9,50.0
343,Feyzin ZI,Sud Lyonnais,FR,45.663940304773,4.845836036043,1.0,1.7,1.75,20.6
344,,Lykovrisi,EL,38.069633479697,23.776885990391,80.0,22.0,6.1,80.0
345,Ceresole Reale,Piemonte,IT,45.4321772,7.2343067,37.0,1.9,37.4,34.0
346,Angoulême Trafic,PoitouCharentes,FR,45.651444444445,0.1623888888891,17.0,3.2,25.0,25.0
347,Ballina,Co. Mayo,IE,54.11468,-9.152606,21.0,2.6,36.0,21.0
348,,Attard,MT,35.8927778,14.4383333,36.0,7.0,34.0,36.0
349,Tikkurila 3,Vantaa,FI,60.28995,25.03953,54.0,13.0,47.7,54.0
350,Näätsaari,Tornio,FI,65.81606,24.16372,8.0,0.7,25.35,8.0
351,Katowice,ul Kossutha 6,PL,50.264611,18.975028,93.0,31.7,1.0,93.0
352,Université Tous Ages,Vannes,FR,47.64892,-2.76399,65.0,1.6,43.7,65.0
353,el atazar,Madrid,ES,40.908999999977,-3.4678999998024,6.0,0.5,3.5,5.0
354,Str. Rampei,Tarnaveni,RO,46.3300046,24.3058164,16.0,6.0,6.6,46.0
355,Hasicska,Trencin,SK,48.8963499,18.0414822,53.0,12.8,20.3,53.0
356,,Szczecin ul. Andrzejewskiego,PL,53.380975,14.66334722,81.0,23.1,3.4,81.0
357,,Wesermündung,DE,53.0559625,9.2084296,34.0,5.1,34.2,34.0
358,la Vendée,Loire,FR,46.6566,-0.743367,55.0,0.8,32.0,55.0
359,,Nicosia Traffic,CY,35.1520595,33.3476924,51.0,6.6,32.3,51.0
360,Str.Alexandru cel Bun,Siret,RO,47.9555837,26.0685003,17.0,29.6,17.0,46.0
361,Av. Miribel,Belleville-sur-Meuse - D603,FR,49.16777799481213,5.387460452864235,41.0,3.0,40.7,59.0
362,,Gävle Staketgatan 22,SE,60.67616843857679,17.137638686881623,88.0,20.8,34.4,55.0
